label,sampler,L,V,sweeps,wall_seconds,tv,nll,ffbs_floor_tv,ffbs_floor_nll,n_chains
random L=64 V=27 s=1.0,ffbs_at_jax_gibbs_time,64,27,2,2.348702466581017,0.671534571731172,142.65274047851562,0.03988461874230416,149.30380249023438,4
random L=64 V=27 s=1.0,ffbs_at_thrml_gibbs_time,64,27,2,2.9486280666509024,0.6452398038036335,149.4958038330078,0.03988461874230416,149.30380249023438,5
random L=64 V=27 s=1.0,thrml_gibbs,64,27,5,7.371570166627256,0.04205099776001589,149.58338928222656,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,jax_gibbs,64,27,5,5.871756166452542,0.04135951891751756,149.49423217773438,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,ffbs_at_jax_gibbs_time,64,27,5,5.871756166452542,0.5022029814750568,149.0966796875,0.03988461874230416,149.30380249023438,10
random L=64 V=27 s=1.0,ffbs_at_thrml_gibbs_time,64,27,5,7.371570166627256,0.4536368309148272,150.73614501953125,0.03988461874230416,149.30380249023438,13
random L=64 V=27 s=1.0,thrml_gibbs,64,27,10,14.743140333254512,0.03715338704438909,149.19247436523438,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,jax_gibbs,64,27,10,11.743512332905084,0.04013141878696479,149.46922302246094,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,ffbs_at_jax_gibbs_time,64,27,10,11.743512332905084,0.38986825876563674,152.40440368652344,0.03988461874230416,149.30380249023438,20
random L=64 V=27 s=1.0,ffbs_at_thrml_gibbs_time,64,27,10,14.743140333254512,0.3298038698381424,147.74314880371094,0.03988461874230416,149.30380249023438,25
random L=64 V=27 s=1.0,thrml_gibbs,64,27,20,29.486280666509025,0.03926924031779345,149.06634521484375,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,jax_gibbs,64,27,20,23.487024665810168,0.03775028491514967,148.91729736328125,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,ffbs_at_jax_gibbs_time,64,27,20,23.487024665810168,0.27622752546897283,149.10963439941406,0.03988461874230416,149.30380249023438,41
random L=64 V=27 s=1.0,ffbs_at_thrml_gibbs_time,64,27,20,29.486280666509025,0.23955492946658397,149.58885192871094,0.03988461874230416,149.30380249023438,51
random L=64 V=27 s=1.0,thrml_gibbs,64,27,50,73.71570166627257,0.03760629427797539,149.15220642089844,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,jax_gibbs,64,27,50,58.71756166452542,0.03909678880605497,148.59642028808594,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,ffbs_at_jax_gibbs_time,64,27,50,58.71756166452542,0.1753287584120735,150.56288146972656,0.03988461874230416,149.30380249023438,101
random L=64 V=27 s=1.0,ffbs_at_thrml_gibbs_time,64,27,50,73.71570166627257,0.14900136070155273,150.48793029785156,0.03988461874230416,149.30380249023438,127
random L=64 V=27 s=1.0,thrml_gibbs,64,27,100,147.43140333254513,0.038788736610440536,149.17156982421875,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,jax_gibbs,64,27,100,117.43512332905084,0.03792088810964196,149.18801879882812,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,ffbs_at_jax_gibbs_time,64,27,100,117.43512332905084,0.12121279495652837,149.86245727539062,0.03988461874230416,149.30380249023438,203
random L=64 V=27 s=1.0,ffbs_at_thrml_gibbs_time,64,27,100,147.43140333254513,0.11314538665618334,147.4691925048828,0.03988461874230416,149.30380249023438,254
random L=64 V=27 s=1.0,thrml_gibbs,64,27,200,294.86280666509026,0.03761593987172819,148.8379364013672,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,jax_gibbs,64,27,200,234.87024665810168,0.03859536599840067,148.83697509765625,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,ffbs_at_jax_gibbs_time,64,27,200,234.87024665810168,0.08767704401755363,148.71054077148438,0.03988461874230416,149.30380249023438,405
random L=64 V=27 s=1.0,ffbs_at_thrml_gibbs_time,64,27,200,294.86280666509026,0.07606347328490298,148.45497131347656,0.03988461874230416,149.30380249023438,509
random L=64 V=27 s=1.0,thrml_gibbs,64,27,500,737.1570166627256,0.03901964840199799,148.79441833496094,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,jax_gibbs,64,27,500,587.1756166452542,0.038465230219138904,148.8549041748047,0.03988461874230416,149.30380249023438,2000
random L=64 V=27 s=1.0,ffbs_at_jax_gibbs_time,64,27,500,587.1756166452542,0.054508107230683375,149.41592407226562,0.03988461874230416,149.30380249023438,1013
random L=64 V=27 s=1.0,ffbs_at_thrml_gibbs_time,64,27,500,737.1570166627256,0.04778680260580654,148.68154907226562,0.03988461874230416,149.30380249023438,1272
random L=128 V=65 s=1.0,thrml_gibbs,128,65,1,1.3525710999965668,0.1049790271936722,429.4630126953125,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,jax_gibbs,128,65,1,1.6931365666678175,0.10668669517991339,430.2636413574219,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,ffbs_at_jax_gibbs_time,128,65,1,1.6931365666678175,0.9197971379416572,407.191650390625,0.062129863310483875,412.55419921875,2
random L=128 V=65 s=1.0,ffbs_at_thrml_gibbs_time,128,65,1,1.3525710999965668,0.9599930739067872,422.2310485839844,0.062129863310483875,412.55419921875,1
random L=128 V=65 s=1.0,thrml_gibbs,128,65,2,2.7051421999931335,0.069449558318252,416.2237243652344,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,jax_gibbs,128,65,2,3.386273133335635,0.0686516958276311,416.8359680175781,0.062129863310483875,412.55419921875,2000
